마타, 86, 143
바자, 42, 180
파하, 80, 174
차자, 42, 170
라라, 47, 190
아자, 70, 153
바자, 85, 148
차사, 64, 146
자라, 94, 189
나하, 77, 170
가파, 80, 158
다하, 59, 142
라나, 68, 178
바다, 59, 149
가나, 52, 199
사카, 51, 189
라파, 91, 148
자하, 84, 181
가하, 97, 178
바파, 56, 149
카타, 53, 175
다나, 86, 195
아파, 73, 158
나라, 44, 160
라사, 74, 185
마나, 52, 195
타카, 42, 148
다파, 44, 166
다다, 74, 158
하나, 56, 161
바사, 72, 144
카차, 58, 176
카차, 70, 169
사바, 73, 155
마가, 66, 185
타차, 58, 166
마라, 92, 198
다타, 88, 147
파사, 76, 189
파다, 70, 191
라사, 73, 162
하바, 52, 191
파마, 49, 157
마파, 81, 189
차자, 43, 179
마차, 77, 158
타마, 42, 198
차다, 67, 177
파나, 43, 156
카마, 99, 145
자마, 94, 197
가가, 93, 168
바차, 41, 146
가사, 40, 173
아하, 71, 181
바자, 91, 168
카가, 66, 190
자자, 49, 157
바사, 60, 193
자카, 77, 194
타카, 60, 183
가마, 74, 152
나사, 42, 180
마가, 59, 188
타사, 84, 191
나아, 90, 172
아하, 42, 160
차마, 79, 181
가차, 83, 169
다자, 46, 170
사파, 58, 166
사마, 69, 167
나카, 46, 150
하파, 89, 144
사자, 91, 145
라카, 95, 156
파카, 56, 157
나다, 91, 143
파가, 48, 157
마아, 40, 169
나마, 56, 185
타차, 73, 185
다파, 54, 167
카마, 76, 140
아아, 87, 147
나아, 70, 195
카타, 66, 179
파다, 63, 148
파카, 69, 143
카파, 70, 161
마바, 79, 184
카마, 73, 162
가파, 54, 163
타나, 83, 149
하타, 76, 147
사하, 54, 183
타마, 68, 143
나차, 64, 189
사다, 52, 162
하바, 79, 190
나사, 41, 153
차마, 74, 182
파카, 66, 187
다아, 69, 151
하바, 68, 145
차카, 62, 146
사사, 57, 173
나아, 43, 193
차사, 47, 195
가하, 70, 167
카파, 57, 174
파아, 60, 170
카타, 92, 161
아하, 41, 153
하파, 66, 145
타마, 63, 192
나가, 99, 169
차마, 60, 148
라하, 46, 185
자자, 49, 150
카사, 80, 148
하자, 54, 192
파사, 85, 149
하아, 71, 199
자하, 51, 174
타타, 86, 179
라차, 44, 184
사카, 47, 142
사라, 53, 179
자다, 77, 188
하하, 45, 189
마차, 50, 188
차마, 83, 149
차나, 41, 153
하가, 50, 197
하다, 55, 141
타사, 82, 179
파아, 71, 199
아다, 75, 194
카마, 46, 149
차하, 81, 193
사사, 43, 166
카가, 70, 190
자타, 51, 168
차카, 77, 170
자아, 53, 146
카하, 80, 157
아다, 79, 199
마자, 65, 140
아파, 59, 198
카카, 68, 162
가카, 95, 185
하카, 62, 143
바다, 41, 153
자파, 60, 167
타나, 65, 159
마하, 98, 154
마타, 78, 170
나사, 96, 184
파라, 50, 156
다바, 89, 194
가파, 44, 171
아마, 59, 152
카아, 80, 170
하파, 97, 164
파자, 52, 170
타바, 40, 152
카라, 54, 143
가가, 55, 190
나카, 47, 150
하차, 92, 155
가차, 55, 188
마나, 96, 174
가파, 47, 194
마바, 57, 179
타라, 66, 149
카나, 94, 164
카자, 53, 158
타차, 88, 153
아사, 54, 151
아하, 54, 169
나자, 53, 193
바자, 95, 163
마카, 51, 157
카타, 46, 197
하파, 76, 192
파마, 56, 184
자가, 49, 159
마카, 58, 194
자자, 61, 174
파나, 88, 141
자타, 74, 167
바바, 74, 194
다하, 93, 160
마자, 74, 143
하아, 50, 152
사자, 65, 199
차라, 70, 178
사하, 95, 180
다라, 76, 169
타다, 88, 171
라타, 55, 192
파나, 98, 148
파라, 90, 189
타카, 56, 147
마카, 95, 187
파카, 65, 168
사타, 63, 191
마아, 51, 156
차마, 74, 140
자아, 56, 196
타라, 95, 182
타아, 90, 160
파하, 97, 193
파다, 80, 186
나사, 97, 196
파마, 68, 191
다바, 60, 173
